CCW,3
MY,0
D,-1
S,1
W,-2
D,-2
W,1
MX,0
MX,0
MX,0
MX,0
A,-1
S,2
CCW,3
CCW,0
D,-1
MX,0
MY,0
CW,3
A,0
MY,0
D,-1
CW,2
W,-3
CCW,3
W,1
CW,0
D,0
S,-3
W,3
S,3
W,-1
W,0
CCW,2
MX,0
CW,0
MY,0
CCW,3
D,3
A,-1
MX,0
D,-3
S,3
MX,0
W,-1
S,-1
W,-3
A,0
S,3
CCW,3
MY,0
S,0
D,-2
A,-1
CCW,3
W,-1
W,-2
D,3
D,2
D,-3
MX,0
MY,0
MY,0
MX,0
A,-2
W,-1
MX,0
CCW,2
CCW,1
MX,0
MX,0
CW,2
CW,1
CW,2
D,-1
MX,0
D,-1
A,3
W,1
S,1
S,2
W,-3
CCW,2
CCW,3
MY,0
MY,0
A,3
S,-1
CCW,1
MY,0
D,-1
MY,0
D,-2
W,-1
S,0
CCW,1
CCW,2
CCW,1
D,1
A,-2
MX,0
CCW,2
MX,0
A,-3
D,-3
A,2
CCW,1
CCW,2
MY,0
CCW,2
MX,0
S,-3
S,2
W,-3
W,1
MY,0
W,2
W,3
S,1
A,3
CCW,2
MY,0
S,1
W,-1
D,2
CCW,1
W,-3
MX,0
S,-2
CCW,3
CCW,3
MX,0
S,-3
S,-3
CW,2
D,0
S,2
A,1
MY,0
W,0
W,-1
A,3
A,-1
CCW,2
S,2
MY,0
S,-1
MX,0
MY,0
D,3
W,1
MY,0
CCW,2
CCW,2
CCW,2
D,3
W,-1
S,3
MX,0
A,3
CCW,3
MY,0
MY,0
MY,0
S,-2
CCW,1
CW,2
A,0
CCW,2
CW,1
CCW,2
CCW,1
CW,3
W,-3
D,-2
CCW,3
CCW,3
D,1
W,1
MX,0
MY,0
W,-2
CCW,1
CW,0
MY,0
S,-2
MX,0
W,3
A,-3
S,2
S,2
MY,0
CCW,2
W,3
S,-1
A,0
S,-2
MY,0
MX,0
CCW,1
W,-2
A,-3
S,1
CCW,1
A,-3
D,3
MX,0
A,1
S,-2
CCW,2
W,0
S,-1
A,-1
S,-1
D,-2
S,-3
CW,0
D,1
D,-3
S,2
MY,0
MY,0
MX,0
MY,0
CCW,2
MX,0
MY,0
CCW,3
CCW,0
S,-2
MY,0
A,0
D,2
CW,2
MY,0
A,-3
MY,0
CW,1
CCW,2
CW,2
A,-3
D,-2
CCW,0
W,-3
MY,0
D,-1
D,0
MX,0
MY,0
S,3
A,-3
CW,2
MX,0
W,2
D,1
D,-2
S,-3
D,-2
CCW,2
CCW,0
D,3
D,3
W,-3
CW,2
W,-3
D,-3
CCW,2
CW,3
A,1
CW,1
A,0
D,3
S,-3
D,2
W,-2
W,1
D,-1
CW,3
A,3
CW,1
W,-1
D,3
MY,0
MX,0
A,3
MY,0
MX,0
D,-2
S,-3
CCW,3
CW,1
MX,0
D,-2
MY,0
MX,0
W,2
MY,0
MX,0
MX,0
CW,1
CCW,2
A,-3
MY,0
W,-3
MX,0
S,3
S,3
A,-2
MY,0
MY,0
A,-1
CCW,1
MY,0
MY,0
MY,0
A,-1
A,-3
CCW,3
D,-2
CCW,3
A,-2
MY,0
MX,0
MY,0
A,2
S,-2
CCW,3
D,-2
D,-1
S,3
A,0
A,-2
S,-3
D,-1
MY,0
W,0
D,3
A,-1
W,-2
W,1
D,1
D,3
D,-3
CCW,3
W,-1
D,0
MX,0
W,-3
D,-3
W,-2
MX,0
W,3
D,1
CCW,2
D,-3
CCW,3
CCW,3
W,-2
CW,3
MX,0
CCW,2
W,2
S,-2
S,1
MX,0
W,2
A,-1
S,1
S,3
MX,0
MX,0
CCW,2
S,3
W,-2
MX,0
D,-3
S,0
CW,2
MY,0
MY,0
S,2
A,0
CW,2
MY,0
CCW,1
CCW,0
CW,0
MX,0
A,1
S,-3
W,1
A,-3
A,-2
D,2
A,-1
A,0
CCW,1
MY,0
CW,3
MX,0
CCW,1
A,3
S,0
MX,0
D,0
W,0
CCW,1
MY,0
CCW,2
CCW,0
MX,0
CCW,3
S,-3
S,-3
CCW,0
D,3
W,-1
MX,0
CCW,3
W,0
W,-2
MX,0
MY,0
MY,0
A,1
S,-3
D,-1
MX,0
W,3
CW,2
MY,0
MX,0
S,2
MX,0
MX,0
MY,0
MX,0
D,-2
S,1
D,-2
W,1
D,1
MY,0
MY,0
CW,1
MX,0
S,-1
D,-2
A,2
S,2
A,2
CW,3
MY,0
D,0
A,-2
CCW,1
S,3
CCW,3
MY,0
MY,0
A,0
MX,0
A,2
MY,0
CW,2
A,2
D,3
CCW,1
MY,0
CCW,2
CCW,0
MX,0
CW,1
MY,0
MY,0
MX,0
A,2
MY,0
MY,0
D,2
A,-2
CCW,0
S,-2
W,-1
A,3
D,0
MY,0
CW,3
CCW,1
MX,0
S,3
CCW,3
W,1
W,0
MX,0
S,0
CCW,2
A,1
CCW,1
MY,0
W,2
CCW,1
MY,0
A,2
W,-1
S,1
CCW,2
CCW,3
D,-2
S,-1
MY,0
MX,0
MY,0
CW,2
CCW,3
D,2
D,-1
MX,0
A,1
S,-2
MX,0
CCW,2
CW,3
S,-1
CCW,1
A,-3
MX,0
W,-2
MY,0
CCW,3
D,-3
S,2
W,2
MX,0
MY,0
MY,0
D,3
CW,3
MY,0
CW,3
CCW,3
W,-2
MY,0
D,3
CW,3
CCW,3
S,-1
CCW,3
D,-1
S,2
MX,0
W,-1
CCW,1
CCW,2
CCW,3
MX,0
A,3
D,2
A,-2
CCW,1
W,2
A,-2
W,3
MY,0
CCW,3
MY,0
S,0
W,3
W,-2
MY,0
MY,0
D,-2
W,0
CCW,0
CCW,0
D,1
W,1
MY,0
S,-3
CCW,2
S,2
W,1
CCW,1
CW,2
D,-1
CCW,2
W,-1
D,3
MY,0
D,3
D,-2
MY,0
W,2
D,-2
MX,0
CCW,1
W,1
MX,0
CW,2
W,2
CCW,0
CCW,1
CCW,3
D,0
W,-2
A,1
CCW,2
A,0
W,-1
D,-2
CCW,1
S,1
MY,0
CCW,1
CW,3
CCW,1
MX,0
MX,0
S,0
MY,0
CCW,3
W,-2
W,3
W,-3
W,-2
MX,0
CCW,0
MY,0
D,2
CW,3
CCW,3
MY,0
MY,0
MX,0
MX,0
D,-1
CW,3
W,-1
MY,0
D,-3
CCW,3
S,-3
D,0
MY,0
W,-2
CW,0
CW,1
W,0
W,0
MX,0
MX,0
A,-3
CCW,1
MX,0
D,-1
MX,0
W,2
CCW,0
CCW,1
A,2
MY,0
D,-3
S,-2
S,-1
MY,0
A,2
CCW,2
CCW,2
W,1
D,1
CW,3
CW,2
D,0
MX,0
S,-2
D,3
CCW,2
MY,0
A,0
CCW,1
MX,0
CW,1
W,3
W,2
MX,0
MX,0
MX,0
MX,0
MX,0
D,3
MX,0
D,-3
MY,0
W,-3
CCW,2
D,-1
CW,2
S,-1
W,0
CCW,1
CW,1
S,3
MX,0
CW,1
S,-3
MX,0
CCW,2
D,-1
W,-1
CCW,3
S,0
A,-3
D,2
D,0
S,-3
A,0
CCW,0
CCW,0
MX,0
A,-2
D,0
CCW,0
MY,0
W,0
MX,0
D,-1
MX,0
CCW,1
S,0
MX,0
D,-1
CCW,2
MX,0
S,3
CW,0
CCW,1
MY,0
MX,0
MY,0
D,-1
CCW,3
S,1
CCW,2
W,-1
MY,0
S,0
CW,0
D,0
D,0
D,3
W,3
CCW,1
A,3
D,0
A,2
CCW,2
S,0
W,-2
S,-2
D,0
D,3
D,0
CW,1
CW,0
MY,0
MY,0
MX,0
MX,0
MX,0
W,-1
MY,0
D,-2
MX,0
D,3
A,1
CCW,1
A,0
MY,0
A,-2
A,1
W,-3
MX,0
D,3
MY,0
CW,1
S,-1
A,-1
CCW,1
A,1
A,-3
A,0
CCW,2
W,3
A,1
S,2
A,3
CW,3
CCW,2
A,3
S,-2
CCW,1
CCW,3
D,1
MY,0
S,0
MY,0
CCW,3
W,0
D,-1
D,-2
MY,0
CW,2
MX,0
CCW,3
S,1
MX,0
A,3
D,-2
W,3
MX,0
D,0
W,-3
W,2
CW,0
MX,0
CCW,1
A,-3
MY,0
S,-2
A,-2
CW,3
A,-1
W,2
MY,0
MX,0
W,-2
CW,1
A,2
MX,0
MY,0
MY,0
W,-3
S,1
CW,0
A,1
MY,0
CCW,3
MY,0
S,0
CCW,0
W,-2
W,2
MY,0
A,0
CW,3
MX,0
MX,0
D,3
W,-2
A,3
D,0
CCW,3
MY,0
W,2
S,1
CW,0
W,3
MX,0
A,-3
MX,0
MX,0
MY,0
S,1
CCW,3
A,2
CCW,3
D,1
A,-3
CCW,2
A,0
MY,0
W,1
A,3
MX,0
W,1
CW,3
MY,0
D,3
CCW,3
S,-2
CCW,3
D,-2
CCW,1
W,1
CW,3
S,3
S,-2
S,3
MY,0
W,-1
D,-1
A,0
MX,0
D,-2
A,1
MY,0
W,3
W,0
S,-3
MY,0
MX,0
MX,0
MY,0
A,0
MY,0
CCW,0
MX,0
MY,0
D,1
D,-2
S,-1
CCW,2
MY,0
S,-1
CCW,1
CCW,1
MY,0
MX,0
CCW,1
S,-3
MX,0
CCW,3
CCW,3
MX,0
S,2
A,3
CCW,2
MX,0
W,0
A,-2
S,-3
MX,0
W,-1
MY,0
S,2
CCW,3
CCW,3
